tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
1200,0,1,1.0874,1.18243,23,18,18,-1,0,1200
1250,1,1,0.458734,0.210437,12,6,17,1,0,1250
1250,0,1,0.643425,0.413996,23,18,18,-1,50,1200
1300,1,1,0.610767,0.373036,12,6,17,1,50,1250
1300,0,1,0.924986,0.8556,23,18,18,-1,100,1200
1350,2,1,0.980583,0.961544,22,2,12,1,0,1350
1350,1,1,0.562395,0.316289,12,6,17,1,100,1250
1350,0,1,0.645186,0.416265,23,18,18,-1,150,1200
1400,2,1,0.624158,0.389573,22,2,12,1,50,1350
1400,1,1,0.645847,0.417119,12,6,17,1,150,1250
1400,0,1,0.727618,0.529428,23,18,18,-1,200,1200
1450,2,1,0.865452,0.749007,22,2,12,1,100,1350
1450,1,1,0.960561,0.922678,12,6,17,1,200,1250
1450,0,1,0.627625,0.393913,23,18,18,-1,250,1200
1500,2,1,0.182413,0.0332746,22,2,12,1,150,1350
1500,1,1,0.712234,0.507278,12,6,17,1,250,1250
1500,0,1,0.138619,0.0192151,23,18,18,-1,300,1200
1550,2,1,0.647876,0.419743,22,2,12,1,200,1350
1550,1,1,0.452027,0.204329,12,6,17,1,300,1250
1550,0,1,0.654958,0.42897,23,18,18,-1,350,1200
1600,2,1,0.274891,0.0755649,22,2,12,1,250,1350
1600,1,1,0.838529,0.703131,12,6,17,1,350,1250
1600,0,1,0.186299,0.0347074,23,18,18,-1,400,1200
1650,2,1,0.501885,0.251888,22,2,12,1,300,1350
1650,1,1,0.447375,0.200145,12,6,17,1,400,1250
1650,0,1,0.643417,0.413986,23,18,18,-1,450,1200
1700,2,1,0.456685,0.208561,22,2,12,1,350,1350
1700,1,1,1.09096,1.19019,12,6,17,1,450,1250
1700,0,1,0.805199,0.648346,23,18,18,-1,500,1200
1750,2,1,0.228868,0.0523804,22,2,12,1,400,1350
1750,1,1,0.570636,0.325626,12,6,17,1,500,1250
1750,0,1,0.757013,0.573069,23,18,18,-1,550,1200
1800,2,1,0.571857,0.327021,22,2,12,1,450,1350
1800,1,1,0.352565,0.124302,12,6,17,1,550,1250
1800,0,1,0.743005,0.552056,23,18,18,-1,600,1200
1850,2,1,0.735001,0.540227,22,2,12,1,500,1350
1850,3,1,0.904888,0.818822,15,9,14,1,0,1850
1850,1,1,0.447777,0.200505,12,6,17,1,600,1250
1850,0,1,0.507196,0.257248,23,18,18,-1,650,1200
1900,2,1,0.196212,0.0384992,22,2,12,1,550,1350
1900,3,1,0.663851,0.440698,15,9,14,1,50,1850
1900,1,1,0.859035,0.737942,12,6,17,1,650,1250
1900,0,1,0.65034,0.422942,23,18,18,-1,700,1200
1950,2,1,0.339538,0.115286,22,2,12,1,600,1350
1950,3,1,0.268226,0.071945,15,9,14,1,100,1850
1950,1,1,0.545672,0.297758,12,6,17,1,700,1250
1950,0,1,0.463733,0.215048,23,18,18,-1,750,1200
2000,2,1,0.652432,0.425667,22,2,12,1,650,1350
2000,3,1,0.370525,0.137289,15,9,14,1,150,1850
2000,1,1,0.378107,0.142965,12,6,17,1,750,1250
2000,0,1,0.295821,0.08751,23,18,18,-1,800,1200
2050,2,1,0.513898,0.264091,22,2,12,1,700,1350
2050,3,1,0.710607,0.504962,15,9,14,1,200,1850
2050,1,1,0.51647,0.266741,12,6,17,1,800,1250
2050,0,1,0.414129,0.171503,23,18,18,-1,850,1200
2100,2,1,0.501692,0.251695,22,2,12,1,750,1350
2100,3,1,0.211936,0.0449167,15,9,14,1,250,1850
2100,1,1,0.379071,0.143695,12,6,17,1,850,1250
2100,0,1,0.678213,0.459973,23,18,18,-1,900,1200
2150,2,1,0.605986,0.367219,22,2,12,1,800,1350
2150,3,1,0.632041,0.399476,15,9,14,1,300,1850
